date,open,close,high,low
2/3/2021 16:56:00,118234.99,119724.72,120210.38,118234.28
2/4/2021 16:56:00,119727.75,119260.82,120559.98,118917.65
2/5/2021 16:56:00,119260.62,120240.26,121116.6,119260.62
2/8/2021 16:56:00,120239.34,119696.36,120844.42,119140.08
2/9/2021 16:56:00,119695.64,119471.62,119974.93,118245.64
2/10/2021 16:56:00,119471.83,118435.33,119738.13,117969.94
2/11/2021 16:56:00,118439.75,119299.83,120282.76,118439.75
2/12/2021 16:56:00,119299.83,119428.72,119763.36,118162.68
2/17/2021 16:56:00,119421.13,120355.79,120597.33,118879.97
2/18/2021 16:56:00,120360.7,119198.97,120840.42,118514.98
2/19/2021 16:56:00,119199.18,118430.53,119249.77,117867.3
2/22/2021 16:56:00,118388.07,112667.7,118388.07,111650.26
2/23/2021 16:56:00,112675.98,115227.46,115380.38,112667.4
2/24/2021 16:56:00,115229.45,115667.78,116207.59,114695.26
2/25/2021 16:56:00,115668.39,112256.36,116506.22,111764.3
2/26/2021 16:56:00,112260.21,110035.17,113466.21,109827.09
3/1/2021 16:56:00,110035.82,110334.83,112445.12,110035.72
3/2/2021 16:56:00,110328.47,111539.8,112428.08,107319.15
3/3/2021 16:56:00,111529.18,111183.95,112398.24,107465.78
3/4/2021 16:56:00,111190.75,112690.17,114433.38,111163.12
3/5/2021 16:56:00,112690.44,115202.23,115503.58,112503.93
3/8/2021 16:56:00,115202.23,110611.58,115202.23,110267.8
3/9/2021 16:56:00,110611.42,111330.62,112524.5,109343.23
3/10/2021 16:56:00,111331.26,112776.49,112928.14,109998.86
3/11/2021 16:56:00,112781.82,114983.76,115126.94,112775.5
3/12/2021 19:30:00,114983.76,114160.4,114983.76,113253.1
3/15/2021 16:56:00,114092.94,114850.74,114903.23,113634.95
3/16/2021 16:56:00,114845.17,114018.78,114974.22,113370.08
3/17/2021 16:56:00,114017.62,116549.44,116736.36,113428.1
3/18/2021 16:56:00,116549.08,114835.43,116750.66,114301.95
3/19/2021 16:56:00,114837.21,116221.58,116446.09,114712.47
3/22/2021 16:56:00,116222.06,114978.86,116224.73,113619.52
3/23/2021 16:56:00,114976.94,113261.8,115598.66,113061.89
3/24/2021 16:56:00,113272.08,112064.19,114822.6,112064.19
3/25/2021 16:56:00,112064.63,113749.9,114024.3,110926.74
3/26/2021 16:56:00,113750.08,114780.62,115415.6,113305.43
3/29/2021 16:56:00,114776.48,115418.72,115552.84,114095.7
3/30/2021 16:56:00,115413.73,116849.67,117090.07,114999.15
3/31/2021 16:56:00,116849.67,116633.72,117248.51,115932.42
4/1/2021 16:56:00,116644.46,115253.31,117087.69,114990.54
4/5/2021 16:56:00,115262.3,117518.44,117667.85,115262.3
4/6/2021 16:56:00,117519.41,117498.87,118212.6,117175.98
4/7/2021 16:56:00,117498.87,117623.58,118303.28,116747.95
4/8/2021 16:56:00,117623.75,118313.23,118849.75,117486.01
4/9/2021 16:56:00,118312.63,117669.9,118643.03,117336.12
4/12/2021 19:30:00,117660.77,118811.74,118811.74,117660.77
4/13/2021 16:56:00,118809.35,119297.13,119529.16,118041.14
4/14/2021 16:56:00,119297.53,120294.68,120871.45,119297.53
4/15/2021 16:56:00,120290.26,120700.67,121408.72,120083.97
4/16/2021 16:56:00,120700.67,121113.93,121333.36,120198.9
4/19/2021 16:56:00,121116.05,120933.78,121974.21,120682.17
4/20/2021 16:56:00,120925.06,120061.99,121353.82,119841.33
4/22/2021 16:56:00,120064.36,119371.48,120994.84,119203.2
4/23/2021 16:56:00,119372.04,120530.06,120814.83,119372.04
4/26/2021 16:56:00,120533.72,120594.61,121392.72,119859.6
4/27/2021 16:56:00,120594.61,119388.37,121012.34,119003.27
4/28/2021 16:56:00,119391.7,121052.52,121275.86,119391.7
4/29/2021 16:56:00,121052.82,120065.75,121497.86,119702.87
4/30/2021 16:56:00,120064.34,118893.84,120124.61,118893.84
5/3/2021 16:56:00,118951.28,119209.48,119903.87,118527.51
5/4/2021 16:56:00,119209.48,117712,119293.42,117630.62
5/5/2021 16:56:00,117724.64,119564.44,119733.86,117724.64
5/6/2021 16:56:00,119576.79,119920.61,119966.42,119071.04
5/7/2021 16:56:00,119921.69,122038.11,122038.11,119921.69
5/10/2021 16:56:00,122038.11,121909.03,122772.37,121794.5
5/11/2021 16:56:00,121903.82,122964.01,122964.01,120145.44
5/12/2021 16:56:00,122963.96,119710.03,122963.96,119458.43
5/13/2021 16:56:00,119711.29,120705.91,121426.34,119711.29
5/14/2021 16:56:00,120719.17,121880.82,122194.55,120719.17
5/17/2021 16:56:00,120719.17,122937.87,123074.21,120719.17
5/18/2021 16:56:00,122937.42,122979.96,123543.68,122549.79
5/19/2021 16:56:00,122975.93,122636.3,123013.4,121595.27
5/20/2021 16:56:00,122635.94,122700.79,122733.95,122136.16
5/21/2021 16:56:00,122701.44,122592.47,122799.36,121760.37
5/24/2021 16:56:00,122592.14,124031.62,124167.01,122525.51
5/25/2021 16:56:00,124031.78,122987.71,124695.53,122700.96
5/26/2021 16:56:00,122987.79,123989.17,124255.69,122987.79
5/27/2021 16:56:00,123989.37,124366.57,124536.66,123470.32
5/28/2021 16:56:00,124366.71,125561.37,125697.58,124284
5/31/2021 16:56:00,125561.23,126215.73,126215.73,125539.68
6/1/2021 16:56:00,126218.42,128267.05,128363.49,126218.42
6/2/2021 16:56:00,128268.08,129601.44,129601.44,128166.64
6/4/2021 16:56:00,129600.32,130125.78,130137.29,129147.86
6/7/2021 16:56:00,130125.36,130776.27,131190.3,129498.16
6/8/2021 16:56:00,130776.32,129787.11,130776.32,129230.31
6/9/2021 16:56:00,129800.21,129906.8,130882.46,129281.45
6/10/2021 16:56:00,129911.06,130076.17,130526.76,129525.89
6/11/2021 16:56:00,130076.35,129441.03,130294.45,128677.81
6/14/2021 16:56:00,129441.02,130207.96,131083.66,129441.02
6/15/2021 16:56:00,130207.96,130091.08,130435.51,129304.07
6/16/2021 16:56:00,130091.33,129259.49,130283.18,128345.03
6/17/2021 16:56:00,129259.44,128057.22,129919.47,127576.44
6/18/2021 16:56:00,128050.31,128405.35,128796.23,127595.32
6/21/2021 16:56:00,128405.35,129264.96,129412.49,128047.98
6/22/2021 16:56:00,129241.76,128767.45,129258.72,127802.73
6/23/2021 16:56:00,128769.17,128427.98,129900.84,128182.37
6/24/2021 16:56:00,128432.96,129513.62,129541.18,128427.97
6/25/2021 16:56:00,129512.94,127255.61,129747.61,126696.64
6/28/2021 16:56:00,127255.27,127429.17,128066.87,126628.95
6/29/2021 16:56:00,127429.17,127327.44,127507.18,126184.05
6/30/2021 16:56:00,127322.72,126801.66,127322.72,126198.77
7/1/2021 16:56:00,126801.66,125666.19,127203.61,124993.64
7/2/2021 16:56:00,125666.79,127621.65,127672.4,125666.79
7/5/2021 16:56:00,127621.65,126920.05,127632.71,126531.07
7/6/2021 16:56:00,126919.36,125094.88,126919.36,124866.38
7/7/2021 16:56:00,125096.34,127018.71,127248.96,125093.56
7/8/2021 16:56:00,127012.57,125427.77,127012.57,124310.06
7/12/2021 19:30:00,125428.3,127593.83,127781.91,125428.3
7/13/2021 16:56:00,127594.35,128167.74,128420.39,126441.1
7/14/2021 16:56:00,128169,128406.51,129619.81,128085.04
7/15/2021 16:56:00,128406.51,127467.88,128976.3,126922.36
7/16/2021 16:56:00,127467.88,125960.26,128010.15,125807.95
7/19/2021 16:56:00,125958.07,124394.57,125958.07,123317.27
7/20/2021 16:56:00,124394.57,125401.36,125630.87,123630.6
7/21/2021 16:56:00,125404.24,125929.25,126111.75,125246.63
7/22/2021 16:56:00,125929.74,126146.66,126427.65,125416.39
7/23/2021 16:56:00,126139.78,125052.78,126203.87,124421.52
7/26/2021 16:56:00,125058.01,126003.86,126213.96,125006.47
7/27/2021 16:56:00,126004.14,124612.03,126025.78,123670.33
7/28/2021 16:56:00,124615.48,126285.59,126712.08,124542.47
7/29/2021 16:56:00,126285.2,125675.33,126475.63,124917.27
7/30/2021 16:56:00,125671.95,121800.79,125672.89,121748.18
8/2/2021 16:56:00,121802.61,122515.74,124536.25,121796.86
8/3/2021 16:56:00,122516.31,123576.56,123765.09,120807.02
8/4/2021 16:56:00,123576.56,121801.21,123586.94,121071.83
8/5/2021 16:56:00,121800.96,121632.92,123540.76,121128.39
8/6/2021 16:56:00,121632.79,122810.36,123286.75,121567.74
8/9/2021 16:56:00,121632.79,123019.38,123597.3,121567.74
8/10/2021 16:56:00,123021.24,122202.47,123512.77,122061.47
8/11/2021 16:56:00,122202.63,122056.34,122755.97,120826.92
8/12/2021 19:30:00,122056.34,120700.98,122095.4,120533.72
8/13/2021 16:56:00,120701.03,121193.75,121275.3,120050.61
8/16/2021 16:56:00,121191.45,119180.03,121191.45,118683.65
8/17/2021 16:56:00,119178.77,117903.81,119178.77,116247.81
8/18/2021 16:56:00,117903.81,116642.62,118738.54,116488.72
8/19/2021 16:56:00,116641.24,117164.69,117453.34,114801
8/20/2021 16:56:00,117163.03,118052.77,118307.96,116040.34
8/23/2021 16:56:00,118052.54,117471.67,118445.18,117062.04
8/24/2021 16:56:00,117474.11,120210.75,120462.82,117474.11
8/25/2021 16:56:00,120210.21,120817.71,120817.71,119225.93
8/26/2021 16:56:00,120817.47,118723.97,120833.24,118718.56
8/27/2021 16:56:00,118725.14,120677.6,120677.6,118720.95
8/30/2021 16:56:00,120677.33,119739.96,120684.47,119354.12
8/31/2021 16:56:00,119737.95,118781.03,120156.94,117910.97
9/1/2021 16:56:00,118793.11,119395.6,119941.95,118067.04
9/2/2021 16:56:00,119394.46,116677.08,119396.59,116534.32
9/3/2021 16:56:00,116678.61,116933.24,117395.53,115582.88
9/6/2021 16:56:00,116925.96,117868.63,117981.03,116155.78
9/8/2021 16:56:00,117866.14,113412.84,117866.14,113172.02
9/9/2021 16:56:00,113412.71,115360.86,116353.62,112435.11
9/10/2021 16:56:00,115370.01,114285.93,116896.46,114285.93
9/13/2021 16:56:00,114300.47,116403.72,117046.18,114300.47
9/14/2021 16:56:00,116404.54,116180.55,117269.82,115809.02
9/15/2021 16:56:00,116190.51,115062.54,116312.22,114741.16
9/16/2021 16:56:00,115061.97,113794.28,115061.97,113394.67
9/17/2021 16:56:00,113794.04,111439.37,113794.04,111156.65
9/20/2021 16:56:00,111434.67,108843.74,111434.67,107520.14
9/21/2021 16:56:00,108859.22,110249.73,110923.17,108859.22
9/22/2021 16:56:00,110251.68,112282.28,113321.23,110251.25
9/23/2021 16:56:00,112282.19,114064.36,114329.73,112280.81
9/24/2021 16:56:00,114062.2,113282.67,114062.2,112504.99
9/27/2021 16:56:00,113282.89,113583.01,114432.23,112360.24
9/28/2021 16:56:00,113584.12,110123.85,113584.12,109980.95
9/29/2021 16:56:00,110124.71,111106.83,112028.32,110124.71
9/30/2021 16:56:00,111117.04,110979.1,112371.02,110742.83
10/1/2021 16:56:00,110979.75,112899.64,113019.62,110979.75
10/4/2021 16:56:00,112899.68,110393.09,112899.68,109978.79
10/5/2021 16:56:00,110397.37,110457.64,111691.29,110087.36
10/6/2021 16:56:00,110453.95,110559.57,110613.82,108179.76
10/7/2021 16:56:00,110563.26,110585.43,111521.5,110563.26
10/8/2021 16:56:00,110586.44,112833.2,114171.97,110586.44
10/11/2021 16:56:00,112833.85,112180.48,113981.6,112051.76
10/13/2021 16:56:00,112180.48,113455.92,114158.88,111807.17
10/14/2021 16:56:00,113456.59,113185.48,113881.35,112707.5
10/15/2021 16:56:00,113189.27,114647.99,114776.05,113048.53
10/18/2021 16:56:00,114646.73,114428.18,114926.85,112840.52
10/19/2021 16:56:00,114422.23,110672.76,114422.23,109947.21
10/20/2021 16:56:00,110677.48,110786.43,112023.13,110175.64
10/21/2021 16:56:00,110767.14,107735.01,110767.14,105713.81
10/22/2021 16:56:00,107714.06,106296.18,107749.34,102853.96
10/25/2021 16:56:00,106297.51,108714.55,109371.98,106295.68
10/26/2021 16:56:00,108713.31,106419.53,108713.31,106320.6
10/27/2021 16:56:00,106432.87,106363.1,108224.47,106044.68
10/28/2021 16:56:00,106369.01,105704.96,107209.64,105282.37
10/29/2021 16:56:00,105706.66,103500.71,105954.35,103429.77
11/1/2021 16:56:00,103513.62,105550.86,106135.93,103513.62
11/3/2021 16:56:00,105547.05,105616.88,106754.42,104204.66
11/4/2021 16:56:00,105616.88,103412.09,105626.72,102835.17
11/5/2021 16:56:00,103412.09,104824.23,105555.46,103412.09
11/8/2021 16:56:00,104824.32,104781.13,105678.85,104182.49
11/9/2021 16:56:00,104783.02,105535.08,106674.43,104783.02
11/10/2021 16:56:00,105535.36,105967.51,107407.42,105140.39
11/11/2021 16:56:00,105987.86,107594.67,108669.18,105987.86
11/12/2021 19:30:00,107576.11,106334.54,107914.62,105842.2
11/16/2021 16:56:00,106335.67,104403.66,106971.2,104112.81
11/17/2021 16:56:00,104404.94,102948.45,105535.21,102551.17
11/18/2021 16:56:00,102948.45,102426,103757.27,102013.98
11/19/2021 19:30:00,102426,103035.02,103975.25,102143.17
